id	label_of_act	description	evidence_in_source	evidence_in_tgt
1	positive	none	none	none
2	negative	conflict	ERAS benefits may translate even on the baby .	ERAS benefits may translate even on the outbreak of pre-existing micrometastases and the initiation of new metastases .
3	negative	conflict	The middle trapezius is primarily a medial stabilizer of the scapula . 	The middle trapezius is primarily a medial stabilizer of the humeral head 
4	negative	conflict	 17 patients -LRB- 58.6 % -RRB- required growth factor	26 patients -LRB- 58.6 % -RRB- required growth factor 
5	positive			
6	negative	conflict	5-year LPFS 	A moderate dose of radiation is the recommended treatment for solitary plasmacytoma -LRB- SP -RRB- , but there is controversy over the role of surgery . Our study aimed at comparing different treatment modalities in the management of SP. . Data from 38 consecutive patients with solitary plasmacytoma , including 16 with bone plasmacytoma and 22 with extramedullary plasmacytoma , were retrospectively reviewed . 15 patients received radiotherapy alone ; 11 received surgery alone , and 12 received both . The median radiation dose was 50Gy . All operations were performed as radical resections . Local progression-free survival -LRB- LPFS -RRB- , multiple myeloma-free survival -LRB- MMFS -RRB- , progression-free survival -LRB- PFS -RRB- and overall survival -LRB- OS -RRB- were calculated and outcomes of different therapies were compared . The median follow-up time was 55 months . 5-year LPFS , MMFS , PFS and OS were 87.0 % , 80.9 % , 69.8 % and 87.4 % , respectively . Univariate analysis revealed , compared with surgery alone , radiotherapy alone was associated with significantly higher 5-year LPFS -LRB- 100 % vs 69.3 % , p = 0.016 -RRB- , MMFS -LRB- 100 % vs 51.4 % , p = 0.006 -RRB- , PFS -LRB- 100 % vs 33.7 % , p = 0.0004 -RRB- and OS -LRB- 100 % vs 70 % , p = 0.041 -RRB- . Radiotherapy alone can be considered as a more effective treatment for SP over surgery . Whether a combination of radiotherapy and surgery improves outcomes requires further study . To assess the outcomes and patterns of failure in solitary plasmacytoma -LRB- SP -RRB- . The data from 258 patients with bone -LRB- n = 206 -RRB- or extramedullary -LRB- n = 52 -RRB- SP without evidence of multiple myeloma -LRB- MM -RRB- were collected . A histopathologic diagnosis was obtained for all patients . The median radiation dose was 40 Gy . The median follow-up was 56 months -LRB- range 7-245 -RRB- . The median time to MM development was 21 months -LRB- range 2-135 -RRB- , with a 5-year probability of 45 % . The 5-year overall survival , disease-free survival , and local control rate was 74 % , 50 % , and 86 % , respectively . On multivariate analyses , the favorable factors were younger age and tumor size < 4 cm for survival ; younger age , extramedullary localization , and RT for disease-free survival ; and small tumor and RT for local control . Bone localization was the only predictor of MM development . Progression to MM remains the main problem . Patients with extramedullary SP had the best outcomes , especially when treated with moderate-dose RT. . Chemotherapy and/or novel therapies should be investigated for bone or bulky extramedullary SP. . The Cyberknife delivers frameless image-guided stereotactic radiosurgery to intracranial and extracranial tumors . We report our use of Cyberknife radiosurgery on a medullary plasmacytoma in the clivus extending into the foramen magnum . No acute toxicity was seen during or within 24 hours of treatment , and the subject had a complete and durable radiographic response on MRI 12 + months after treatment . To our knowledge , this is a first case of successful Cyberknife radiosurgery of a medullary plasmacytoma .
7	positive	none	none	none
8	positive	none		
9	positive	none		
10	negative	conflict	At 6 months 	The purpose of the Correction of Myopia Evaluation Trial -LRB- COMET -RRB- was to evaluate the effect of progressive addition lenses -LRB- PALs -RRB- compared with single vision lenses -LRB- SVLs -RRB- on the progression of juvenile-onset myopia . COMET enrolled 469 children -LRB- ages 6-11 years -RRB- with myopia between -1.25 and -4.50 D spherical equivalent . The children were recruited at four colleges of optometry in the United States and were ethnically diverse . They were randomly assigned to receive either PALs with a +2.00 addition -LRB- n = 235 -RRB- or SVLs -LRB- n = 234 -RRB- , the conventional spectacle treatment for myopia , and were followed for 3 years . The primary outcome measure was progression of myopia , as determined by autorefraction after cycloplegia with 2 drops of 1 % tropicamide at each annual visit . The secondary outcome measure was change in axial length of the eyes , as assessed by A-scan ultrasonography . Child-based analyses -LRB- i.e. , the mean of the two eyes -RRB- were used . Results were adjusted for important covariates , by using multiple linear regression . Of the 469 children -LRB- mean age at baseline , 9.3 + / - 1.3 years -RRB- , 462 -LRB- 98.5 % -RRB- completed the 3-year visit . Mean -LRB- + / - SE -RRB- 3-year increases in myopia -LRB- spherical equivalent -RRB- were -1.28 + / - 0.06 D in the PAL group and -1.48 + / - 0.06 D in the SVL group . The 3-year difference in progression of 0.20 + / - 0.08 D between the two groups was statistically significant -LRB- P = 0.004 -RRB- . At 6 months , 17 % of the PAL group versus 30 % of the SVL group needed a prescription change -LRB- P = 0.0007 -RRB- , and , at 1 year , 43 % of the PAL group versus 59 % of the SVL group required a prescription change -LRB- P = 0.002 -RRB- . Interaction analyses identified a significantly larger treatment effect of PALs in children with lower versus higher baseline accommodative response at near -LRB- P = 0.03 -RRB- and with lower versus higher baseline myopia -LRB- P = 0.04 -RRB- . Mean -LRB- + / - SE -RRB- increases in the axial length of eyes of children in the PAL and SVL groups , respectively , were : 0.64 + / - 0.02 mm and 0.75 + / - 0.02 mm , with a statistically significant 3-year mean difference of 0.11 + / - 0.03 mm -LRB- P = 0.0002 -RRB- . Mean changes in axial length correlated with those in refractive error -LRB- r = 0.86 for PAL and 0.89 for SVL -RRB- . Use of PALs compared with SVLs slowed the progression of myopia in COMET children by a small , statistically significant amount only during the first year . The size of the treatment effect remained similar and significant for the next 2 years . The results provide some support for the COMET rationale-that is , a role for defocus in progression of myopia . The small magnitude of the effect does not warrant a change in clinical practice . To examine associations between myopia and measures of urbanization in a population-based sample of 12-year-old Australian children . Questionnaire data on sociodemographic and environmental factors including ethnicity , parental education , and time spent in near work and outdoor activities were collected from 2367 children -LRB- 75.0 % response -RRB- and their parents . Population density data for the Sydney area were used to construct five urban regions . Myopia was defined as spherical equivalent refraction < / = -0.50 D. Myopia prevalence was lowest in the outer suburban region -LRB- 6.9 % -RRB- and highest in the inner city region -LRB- 17.8 % -RRB- , with mean refraction tending toward greater myopia by region -LRB- outer suburban to inner city -RRB- , after adjustment for age , sex , ethnicity , near work , outdoor activity , and parental myopia . Multivariate-adjusted analyses confirmed greater odds for myopia in regions of higher population density -LRB- P -LRB- trend -RRB- = 0.0001 -RRB- . Myopia was significantly more prevalent among children living in apartment residences than other housing types -LRB- chi -LRB- 2 -RRB- < 0.0001 -RRB- , after adjustment for ethnicity , near work , and outdoor activity . Housing density -LRB- measured as the number of houses visible from a front door -RRB- was not significantly associated with myopia -LRB- chi -LRB- 2 -RRB- = 0.1 -RRB- . For both European Caucasian and East Asian children , myopia was most prevalent in the inner city region -LRB- 8.1 % and 55.1 % , for European Caucasian and East Asian , respectively -RRB- . The higher myopia prevalence in inner city-urban areas compared with outer suburban areas for this large childhood sample suggest that even moderate environmental differences within a predominantly urban setting may be associated with increased odds of myopia . These findings are consistent with previous reports of rural-urban differences in childhood myopia . To estimate the societal economic burden and the governmental budgetary impact of the following visual disorders among US adults aged 40 years and older : visual impairment , blindness , refractive error , age-related macular degeneration , cataracts , diabetic retinopathy , and primary open-angle glaucoma . We estimated 3 components of economic burden : direct medical costs , other direct costs , and productivity losses . We used private insurance and Medicare claims data to estimate direct medical costs ; epidemiologic evidence from multiple published sources to estimate other direct costs , such as nursing home costs ; and data from the Survey of Income and Program Participation to estimate productivity losses . We used budgetary documents and our direct medical and other direct cost estimates to approximate the governmental budgetary impact . We estimated that the annual total financial burden of major adult visual disorders is $ 35.4 billion -LRB- $ 16.2 billion in direct medical costs , $ 11.1 billion in other direct costs , and $ 8 billion in productivity losses -RRB- and that the annual governmental budgetary impact is $ 13.7 billion . Major visual disorders among Americans older than 40 years result in substantial economic costs for the US economy . Well-designed public health programs may have the ability to reduce this burden in the future . Besides the direct economic and social burden of myopia , associated ocular complications may lead to substantial visual loss . In several population and clinic-based cohorts , case-control and cross-sectional studies , higher risks of posterior subcapsular cataract , cortical and nuclear cataract in myopic patients were reported . Patients with high myopia -LRB- spherical equivalent at least -6.0 D -RRB- are more susceptible to ocular abnormalities . The prevalent risks of glaucoma were higher in myopic adults , and risks of chorioretinal abnormalities such as retinal detachment , chorioretinal atrophy and lacquer cracks increased with severity of myopia and greater axial length . Myopic adults were more likely to have tilted , rotated , and larger discs as well as other optic disc abnormalities . Often , these studies support possible associations between myopia and specific ocular complications , but we can not infer causality because of limitations in study methodology . The detection and treatment of possible pathological ocular complications is essential in the management of high myopia . The ocular risks associated with myopia should not be underestimated and there is a public health need to prevent the onset or progression of myopia . To compare US population prevalence estimates for myopia in 1971-1972 and 1999-2004 . The 1971-1972 National Health and Nutrition Examination Survey provided the earliest nationally representative estimates for US myopia prevalence ; myopia was diagnosed by an algorithm using either lensometry , pinhole visual acuity , and presenting visual acuity -LRB- for presenting visual acuity > or = 20/40 -RRB- or retinoscopy -LRB- for presenting visual acuity < or = 20/50 -RRB- . Using a similar method for diagnosing myopia , we examined data from the 1999-2004 National Health and Nutrition Examination Survey to determine whether myopia prevalence had changed during the 30 years between the 2 surveys . Using the 1971-1972 method , the estimated prevalence of myopia in persons aged 12 to 54 years was significantly higher in 1999-2004 than in 1971-1972 -LRB- 41.6 % vs 25.0 % , respectively ; P < .001 -RRB- . Prevalence estimates were higher in 1999-2004 than in 1971-1972 for black individuals -LRB- 33.5 % vs 13.0 % , respectively ; P < .001 -RRB- and white individuals -LRB- 43.0 % vs 26.3 % , respectively ; P < .001 -RRB- and for all levels of myopia severity -LRB- > -2.0 diopters -LSB- D -RSB- : 17.5 % vs 13.4 % , respectively -LSB- P < .001 -RSB- ; < or = -2.0 to > -7.9 D : 22.4 % vs 11.4 % , respectively -LSB- P < .001 -RSB- ; < or = -7.9 D : 1.6 % vs 0.2 % , respectively -LSB- P < .001 -RSB- -RRB- . When using similar methods for each period , the prevalence of myopia in the United States appears to be substantially higher in 1999-2004 than 30 years earlier . Identifying modifiable risk factors for myopia could lead to the development of cost-effective interventional strategies .
